image,DecomNetRetinexTapetum,DecomNetRetinexTapetumRGB,RetinexNet,RetinexTapetum,RetinexTapetumRGB
00742.png,28.12235990212848,28.491375605377826,0.13128092397602936,89.01329781274256,88.02429696094568
00743.png,24.494818937586704,19.698295806135505,0.18420464706407383,54.76681525097452,50.828175434189546
00744.png,12.047186584005567,12.328480839881934,0.12714928234166326,67.40232733718288,64.49875846673329
00745.png,38.91583089863622,37.45136168669305,0.1762548694362797,59.7021619753527,55.28099385186558
00746.png,38.80678330735572,37.36776489858104,0.17697247526098517,60.19491655044988,55.813934751995404
00747.png,15.889508203442473,14.586996668326137,0.1421395370753683,65.10391708285493,62.33612892015352
00748.png,15.503342298889082,14.296997203200409,0.14014546371538394,64.71005041722654,61.90775056548352
00749.png,18.443108588156477,20.670227400327505,0.12515672974315045,73.03145392034004,70.33874857275505
00750.png,15.371889869789769,18.343669312801676,0.11679721315168441,75.81225847550151,73.37993754681861
00751.png,12.466968074425715,12.69355156056425,0.166763764049628,67.02527654036572,65.01826290911463
00752.png,15.568710619900767,15.64903619985509,0.15308358174539816,65.3030981570266,63.12247635735131
00753.png,26.610879655051335,25.235624243458517,0.22185292425388492,51.50277554338091,49.320641061989704
00754.png,26.297040951273754,24.873262737701904,0.22142073073675825,51.684788698537794,49.52097685261772
00755.png,8.000408162195148,6.3723234653975505,0.19504270045300337,62.6920934726571,61.57132709559296
00756.png,8.021784685530747,6.405911469237534,0.19507758200264838,62.849415846653855,61.74602838632113
00757.png,17.937967008565675,19.56466282597634,0.1329622126771362,83.99353583758693,82.13779687684136
00758.png,21.86983825819142,25.92091902245655,0.09944799143270819,81.1537199981076,79.01909319806036
00759.png,25.42308982192664,24.846923932476027,0.16302878580177182,45.29542242841709,41.452781931769216
00760.png,25.104903197399135,24.52049301373687,0.17116683674123326,45.59743388133262,41.77998636598853
00761.png,20.220885645999626,19.864058259753342,0.16634906071270736,57.323316778466115,54.322644514339046
00762.png,20.34131444834203,20.343488231562805,0.16620393196311573,58.0211311519885,55.08223832158262
00763.png,42.115324544914024,39.004693164633245,0.26440607027827484,39.807095578532696,37.320802311261346
00764.png,36.94159769995066,37.03587128337539,0.25360938468440003,42.29466423849319,40.08948273520828
00765.png,31.413633110718724,32.29486417300938,0.166257270517713,62.95461224664163,59.87510805379081
00766.png,31.341278800264956,32.252115816010814,0.1655888794575288,62.93009824896986,59.842489379672784
00767.png,37.552864755797096,37.065068945538194,0.1755827952847317,76.33772169711544,74.8630618352185
00768.png,43.61155970208401,44.33415538819224,0.15567052707561568,72.84860625704344,71.04994529598527
00769.png,27.904468509415633,26.36606942073882,0.20770199084264937,41.45975316873582,38.884764398717266
00770.png,28.056637837734808,26.502633593708076,0.2080717304200645,41.36680609479507,38.78889649385424
00771.png,24.45594532457803,22.78949503574783,0.1768996693043828,46.975088457041515,43.65263020739343
00772.png,23.255812707945324,21.678064409962897,0.1670278479775154,45.94677308616188,42.49328272972609
00773.png,21.031401635086713,23.79158571388738,0.13359514586990054,83.69694856575568,81.97299121700085
00774.png,21.129399129373258,22.13739735317288,0.14423727673524622,84.45575417970348,82.81012378666331
00775.png,22.978656983335917,24.02269561862607,0.149265146635107,63.485086446911886,60.11277649915615
00776.png,22.77422811663644,23.496827256318696,0.16171635353296834,64.2404274544562,60.943805763485926
00777.png,27.44923070166596,30.048490880562017,0.1526091281673544,78.20679155990067,76.1800716743723
00778.png,27.700298167252416,30.702919250264806,0.15139016480604017,78.89691467054494,76.92968075619449
00779.png,27.7814180693032,23.460966117198662,0.1783226570012908,45.85950809180006,43.24185368547757
00780.png,27.747379213588015,23.50068696012217,0.17863094636708388,46.17575597056452,43.583668189041866
00781.png,36.31440265023989,36.41992768818329,0.15086708388512055,75.27159158673344,71.68046023084848
00782.png,36.19444321614248,36.371826872444316,0.14961936706188808,75.30569211968641,71.70650426499851
00783.png,36.2264251870915,36.383135433127705,0.1496084422751604,75.287045101772,71.68879412519784
00784.png,43.99390715982726,45.80712526026246,0.14238679011762292,94.47286420085135,92.5871844196053
00785.png,44.067767581855534,45.89301630218371,0.1429996713282936,94.51839788666807,92.63762460354594
00786.png,44.07252767101633,45.88408618719975,0.14226371990075334,94.49948846587742,92.616090580282
00787.png,26.661496360549492,28.71348628142521,0.14015377269271062,75.24895529798071,74.33388109675325
00788.png,27.930304844575854,30.037320129897367,0.14325583059687308,75.56814430428837,74.68593094586156
00789.png,27.778291594097695,29.912006776778828,0.1434825599158309,75.51425905292655,74.6277578793156
