image,model,psnr,ssim,mae,mse,rmse,lpips
00735.png,RetinexNet,15.03727880481269,0.6463563048472553,0.1515864,0.031352498,0.1770663660891023,
00736.png,RetinexNet,15.066112484654733,0.6544781555286027,0.151139,0.03114503,0.17647954555698517,
00737.png,RetinexNet,16.492587006665943,0.7556229401234914,0.1385969,0.022425456,0.14975131385066376,
00738.png,RetinexNet,16.135991111069906,0.750397261561898,0.14381067,0.024344502,0.15602724762040765,
00739.png,RetinexNet,17.479507044685775,0.6200425205685607,0.11031543,0.017866904,0.13366713881878373,
00740.png,RetinexNet,17.437985290860126,0.6171428879345117,0.11080124,0.018038543,0.1343076431183274,
00741.png,RetinexNet,16.940703171788954,0.7087847494873291,0.12708543,0.020226916,0.14222136267101368,
00742.png,RetinexNet,17.635967317722013,0.5318892451494457,0.10817545,0.017234681,0.13128092397602936,
00743.png,RetinexNet,14.693988223561592,0.725608438021153,0.1523199,0.033931352,0.18420464706407383,
00744.png,RetinexNet,17.913721835803976,0.7005408988381956,0.10521513,0.01616694,0.12714928234166326,
00745.png,RetinexNet,15.077177587991144,0.6590487408125818,0.14628021,0.031065779,0.1762548694362797,
00746.png,RetinexNet,15.041885273479636,0.646493792726373,0.1467851,0.031319257,0.17697247526098517,
00747.png,RetinexNet,16.945702144658483,0.6833079006399464,0.120438404,0.020203648,0.1421395370753683,
00748.png,RetinexNet,17.06841890192423,0.695803059300718,0.11890898,0.019640751,0.14014546371538394,
00749.png,RetinexNet,18.050915849629103,0.6505857999017955,0.099701114,0.015664207,0.12515672974315045,
00750.png,RetinexNet,18.65135015810313,0.6207202378412467,0.094820864,0.013641589,0.11679721315168441,
00751.png,RetinexNet,15.557966156276466,0.6222953803057328,0.13882719,0.027810153,0.166763764049628,
00752.png,RetinexNet,16.30142775516347,0.6142727572681764,0.12854296,0.023434583,0.15308358174539816,
00753.png,RetinexNet,13.078696852294772,0.5921998741656473,0.1879526,0.04921872,0.22185292425388492,
00754.png,RetinexNet,13.095634450139936,0.5930965495337596,0.18778168,0.04902714,0.22142073073675825,
00755.png,RetinexNet,14.197405841942494,0.563256413396984,0.17458375,0.038041655,0.19504270045300337,
00756.png,RetinexNet,14.195852757321925,0.5546278195592941,0.17476553,0.038055263,0.19507758200264838,
00757.png,RetinexNet,17.525435299265155,0.6065675561267722,0.10669857,0.01767895,0.1329622126771362,
00758.png,RetinexNet,20.04807968064594,0.6041517484217453,0.07952543,0.009889903,0.09944799143270819,
00759.png,RetinexNet,15.754714026522317,0.6342992761558429,0.1375202,0.026578385,0.16302878580177182,
00760.png,RetinexNet,15.331607527882598,0.6476955268404704,0.14748745,0.029298086,0.17116683674123326,
00761.png,RetinexNet,15.57959297363096,0.6062100271489311,0.13843113,0.02767201,0.16634906071270736,
00762.png,RetinexNet,15.587174165582791,0.6042166786001002,0.13894723,0.027623747,0.16620393196311573,
00763.png,RetinexNet,11.554571335915483,0.5808230601118846,0.2383049,0.06991057,0.26440607027827484,
00764.png,RetinexNet,11.916693569501223,0.60510244790955,0.21085343,0.06431772,0.25360938468440003,
00765.png,RetinexNet,15.584386851137497,0.669881728326283,0.14295389,0.02764148,0.166257270517713,
00766.png,RetinexNet,15.619376701672882,0.6810883835690538,0.14245845,0.027419677,0.1655888794575288,
00767.png,RetinexNet,15.110360850013327,0.5082499664425854,0.1474613,0.030829318,0.1755827952847317,
00768.png,RetinexNet,16.15587191061428,0.5187166405524657,0.1282048,0.024233313,0.15567052707561568,
00769.png,RetinexNet,13.651186926508892,0.5363516044628932,0.1829339,0.043140117,0.20770199084264937,
00770.png,RetinexNet,13.635738263191357,0.5343221293598678,0.1830834,0.043293845,0.2080717304200645,
00771.png,RetinexNet,15.045459594795329,0.5076139397164021,0.15078229,0.031293493,0.1768996693043828,
00772.png,RetinexNet,15.544222118718691,0.5871191124797401,0.14057495,0.027898302,0.1670278479775154,
00773.png,RetinexNet,17.48418633669494,0.6507677608883938,0.12002888,0.017847663,0.13359514586990054,
00774.png,RetinexNet,16.81844987115233,0.630740419784383,0.12636517,0.020804392,0.14423727673524622,
00775.png,RetinexNet,16.520831794013475,0.6827490201219327,0.122076295,0.022280084,0.149265146635107,
00776.png,RetinexNet,15.82492127353085,0.6662321915078314,0.1345816,0.026152179,0.16171635353296834,
00777.png,RetinexNet,16.328389827594837,0.6174187634972766,0.12715933,0.023289546,0.1526091281673544,
00778.png,RetinexNet,16.39804653101962,0.6244889838546867,0.12579629,0.022918982,0.15139016480604017,
00779.png,RetinexNet,14.975869463645433,0.6650693472193174,0.15233546,0.03179897,0.1783226570012908,
00780.png,RetinexNet,14.960865832811155,0.665942119143431,0.1527625,0.031909015,0.17863094636708388,
00781.png,RetinexNet,16.428110157557533,0.6922747671573867,0.118010186,0.022760877,0.15086708388512055,
00782.png,RetinexNet,16.500243722040928,0.7124782477065484,0.11698249,0.022385955,0.14961936706188808,
00783.png,RetinexNet,16.50087783825135,0.7115722107179568,0.11698662,0.022382686,0.1496084422751604,
00784.png,RetinexNet,16.930605833852344,0.6574961812343697,0.11447865,0.020273998,0.14238679011762292,
00785.png,RetinexNet,16.893298976310323,0.6495225045484069,0.11501451,0.020448906,0.1429996713282936,
00786.png,RetinexNet,16.93811701576497,0.6604885967257225,0.11442341,0.020238966,0.14226371990075334,
00787.png,RetinexNet,17.067904204675184,0.5794117140944335,0.120585375,0.01964308,0.14015377269271062,
00788.png,RetinexNet,16.877753692786627,0.5750756573548438,0.123172484,0.020522233,0.14325583059687308,
00789.png,RetinexNet,16.86401786316789,0.5749593126248239,0.12332508,0.020587245,0.1434825599158309,
00690.png,RetinexTapetum,9.674119872415606,0.3243187733737543,80.08304595947266,7009.19873046875,83.72095753435188,0.3542853891849518
00691.png,RetinexTapetum,9.665524083994482,0.3105472842412686,80.06440734863281,7023.08544921875,83.80385104050261,0.3543097674846649
00692.png,RetinexTapetum,8.937037527739758,0.2482017105131563,86.36731719970703,8305.70703125,91.13565181228475,0.3584844470024109
00693.png,RetinexTapetum,8.99271784101835,0.2585637006508006,85.73978424072266,8199.900390625,90.55330137893924,0.3583102524280548
00694.png,RetinexTapetum,8.485197634845594,0.26593819080951064,91.19964599609375,9216.384765625,96.00200396671416,0.3717835247516632
00695.png,RetinexTapetum,8.482495863057121,0.2654753627700283,91.22858428955078,9222.1201171875,96.03187032015725,0.370496928691864
00696.png,RetinexTapetum,8.874446114084417,0.1605089082771947,84.96143341064453,8426.27734375,91.79475662449353,0.5096532702445984
00697.png,RetinexTapetum,8.872094209423837,0.1583097930806996,84.96036529541016,8430.841796875,91.81961553434539,0.5090503096580505
00698.png,RetinexTapetum,8.9863338271602,0.1622163268906904,86.45372009277344,8211.962890625,90.61988132096069,0.6385698914527893
00699.png,RetinexTapetum,8.993522193467008,0.1606583853831558,86.35753631591797,8198.3818359375,90.54491612419496,0.6462015509605408
00700.png,RetinexTapetum,12.799452220400369,0.5184231856456868,55.990806579589844,3412.990966796875,58.42080936444543,0.23618680238723755
00701.png,RetinexTapetum,12.799818196575231,0.5234188315876783,56.042633056640625,3412.703369140625,58.41834788095796,0.23418274521827698
